Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,C6_15,TS_boundary,ALL,*,QUAL,*,0.0,0.5,0.0,0.0,1,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,0.000000,2.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,PASS,*,QUAL,*,0.0,0.5,0.0,0.0,1,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,0.000000,2.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.271186,0.0,0.0,8,0,32971317.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,59,.,.,12.000000,35.000000,,0.342857142857,16,.,.,4.000000,12.000000,,0.333333333333,43,.,.,8.000000,23.000000,,0.347826086957,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.271186,0.0,0.0,8,0,32971317.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,59,.,.,12.000000,35.000000,,0.342857142857,16,.,.,4.000000,12.000000,,0.333333333333,43,.,.,8.000000,23.000000,,0.347826086957,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.264151,0.459016,0.460177,0.335329,31,0,41689983,32971317.000000,0.000000,106,.,.,60.000000,34.000000,,1.76470588235,28,.,.,21.000000,6.000000,,3.5,78,.,.,39.000000,28.000000,,1.39285714286,113,.,.,47.000000,52.000000,,0.903846153846,28,.,.,21.000000,6.000000,,3.5,33,.,.,16.000000,9.000000,,1.77777777778,52,.,.,10.000000,37.000000,,0.27027027027
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.264151,0.459016,0.460177,0.335329,31,0,41689983,32971317.000000,0.000000,106,.,.,60.000000,34.000000,,1.76470588235,28,.,.,21.000000,6.000000,,3.5,78,.,.,39.000000,28.000000,,1.39285714286,113,.,.,47.000000,52.000000,,0.903846153846,28,.,.,21.000000,6.000000,,3.5,33,.,.,16.000000,9.000000,,1.77777777778,52,.,.,10.000000,37.000000,,0.27027027027
INDEL,D16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,32971317.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,2,.,.,0.000000,2.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,0.000000,2.000000,,0.0
INDEL,D16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,32971317.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,2,.,.,0.000000,2.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,0.000000,2.000000,,0.0
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.266667,0.459016,0.0,0.337349,31,0,32971317.000000,32971317.000000,0.000000,105,.,.,59.000000,34.000000,,1.73529411765,28,.,.,21.000000,6.000000,,3.5,77,.,.,38.000000,28.000000,,1.35714285714,61,.,.,37.000000,15.000000,,2.46666666667,28,.,.,21.000000,6.000000,,3.5,33,.,.,16.000000,9.000000,,1.77777777778,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,0.266667,0.459016,0.0,0.337349,31,0,32971317.000000,32971317.000000,0.000000,105,.,.,59.000000,34.000000,,1.73529411765,28,.,.,21.000000,6.000000,,3.5,77,.,.,38.000000,28.000000,,1.35714285714,61,.,.,37.000000,15.000000,,2.46666666667,28,.,.,21.000000,6.000000,,3.5,33,.,.,16.000000,9.000000,,1.77777777778,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,ALL,*,QUAL,*,0.875852,0.941509,0.262862,0.907494,157,0,41689983,32971317.000000,0.000000,3963,.,.,2226.000000,1550.000000,,1.43612903226,3471,.,.,1930.000000,1467.000000,,1.31561008862,492,.,.,296.000000,83.000000,,3.56626506024,4801,.,.,2577.000000,1968.000000,,1.30945121951,3332,.,.,1839.000000,1401.000000,,1.31263383298,207,.,.,55.000000,100.000000,,0.55,1262,.,.,683.000000,467.000000,,1.4625267666
INDEL,D1_5,*,PASS,*,QUAL,*,0.875852,0.941509,0.262862,0.907494,157,0,41689983,32971317.000000,0.000000,3963,.,.,2226.000000,1550.000000,,1.43612903226,3471,.,.,1930.000000,1467.000000,,1.31561008862,492,.,.,296.000000,83.000000,,3.56626506024,4801,.,.,2577.000000,1968.000000,,1.30945121951,3332,.,.,1839.000000,1401.000000,,1.31263383298,207,.,.,55.000000,100.000000,,0.55,1262,.,.,683.000000,467.000000,,1.4625267666
INDEL,D1_5,TS_boundary,ALL,*,QUAL,*,0.142857,0.166667,0.25,0.153846,2,0,41689983.000000,32971317.000000,0.000000,7,.,.,3.000000,3.000000,,1.0,1,.,.,0.000000,1.000000,,0.0,6,.,.,3.000000,2.000000,,1.5,8,.,.,5.000000,3.000000,,1.66666666667,1,.,.,1.000000,0.000000,,,5,.,.,3.000000,2.000000,,1.5,2,.,.,1.000000,1.000000,,1.0
INDEL,D1_5,TS_boundary,PASS,*,QUAL,*,0.142857,0.166667,0.25,0.153846,2,0,41689983.000000,32971317.000000,0.000000,7,.,.,3.000000,3.000000,,1.0,1,.,.,0.000000,1.000000,,0.0,6,.,.,3.000000,2.000000,,1.5,8,.,.,5.000000,3.000000,,1.66666666667,1,.,.,1.000000,0.000000,,,5,.,.,3.000000,2.000000,,1.5,2,.,.,1.000000,1.000000,,1.0
INDEL,D1_5,TS_contained,ALL,*,QUAL,*,0.877149,0.942825,0.0,0.908802,155,0,32971317.000000,32971317.000000,0.000000,3956,.,.,2223.000000,1547.000000,,1.43697478992,3470,.,.,1930.000000,1466.000000,,1.31650750341,486,.,.,293.000000,81.000000,,3.61728395062,3533,.,.,1890.000000,1499.000000,,1.26084056037,3331,.,.,1838.000000,1401.000000,,1.3119200571,202,.,.,52.000000,98.000000,,0.530612244898,0,.,.,0.000000,0.000000,,
