Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,ALL,*,QUAL,10066.700195,0.6949350000000001,0.990935,0.23829,0.408475,44361,30828,13533,40841,30827,282,9732,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10068.000000,0.69489,0.990935,0.23830199999999999,0.408459,44361,30826,13535,40839,30825,282,9732,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10069.099609,0.6948449999999999,0.990935,0.23830199999999999,0.408443,44361,30824,13537,40839,30825,282,9732,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1007.000000,0.970131,0.986476,0.30965,0.48911800000000005,44361,43036,1325,63194,43036,590,19568,68,296,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10070.700195,0.6947770000000001,0.990934,0.23828200000000002,0.40842,44361,30821,13540,40834,30822,282,9730,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10072.599609,0.694709,0.9909319999999999,0.23831100000000002,0.408396,44361,30818,13543,40829,30817,282,9730,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10073.700195,0.694642,0.9909319999999999,0.238304,0.408373,44361,30815,13546,40826,30815,282,9729,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10075.900391,0.6945520000000001,0.9909309999999999,0.23832199999999998,0.408342,44361,30811,13550,40823,30812,282,9729,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,100766.000000,0.00257,0.857143,0.759494,0.002562,44361,114,44247,553,114,19,420,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,100768.000000,0.00257,0.8560610000000001,0.7608699999999999,0.002562,44361,114,44247,552,113,19,420,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10077.099609,0.694461,0.9909290000000001,0.23833800000000002,0.40831,44361,30807,13554,40816,30806,282,9728,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10078.700195,0.694394,0.990928,0.238331,0.408287,44361,30804,13557,40813,30804,282,9727,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10079.900391,0.694281,0.990927,0.23833600000000002,0.40824699999999997,44361,30799,13562,40808,30800,282,9726,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1008.010010,0.970131,0.986476,0.30961700000000003,0.48911800000000005,44361,43036,1325,63191,43036,590,19565,68,296,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10081.099609,0.694258,0.990927,0.238341,0.40824,44361,30798,13563,40807,30799,282,9726,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10082.200195,0.694236,0.990926,0.23835900000000002,0.40823200000000004,44361,30797,13564,40804,30796,282,9726,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10083.700195,0.694191,0.990925,0.238333,0.40821599999999997,44361,30795,13566,40800,30794,282,9724,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10085.099609,0.694056,0.990924,0.238368,0.408169,44361,30789,13572,40794,30788,282,9724,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10086.900391,0.693988,0.990923,0.23834299999999997,0.408145,44361,30786,13575,40790,30786,282,9722,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10088.500000,0.693988,0.990923,0.23832399999999998,0.408145,44361,30786,13575,40789,30786,282,9721,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10089.599609,0.6939649999999999,0.990923,0.23831100000000002,0.408138,44361,30785,13576,40787,30785,282,9720,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1009.159973,0.970131,0.986476,0.309562,0.48911800000000005,44361,43036,1325,63186,43036,590,19560,68,296,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10090.700195,0.693943,0.990923,0.23828000000000002,0.40813,44361,30784,13577,40784,30784,282,9718,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10092.900391,0.69392,0.990922,0.23829099999999998,0.408122,44361,30783,13578,40782,30782,282,9718,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,100927.000000,0.002547,0.8560610000000001,0.760436,0.0025399999999999997,44361,113,44248,551,113,19,419,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10094.099609,0.6938529999999999,0.990922,0.23829699999999998,0.408098,44361,30780,13581,40781,30781,282,9718,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10095.200195,0.693785,0.9909209999999999,0.238296,0.408075,44361,30777,13584,40777,30778,282,9717,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10096.700195,0.693785,0.9909209999999999,0.238283,0.408075,44361,30777,13584,40775,30777,282,9716,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10097.900391,0.693763,0.99092,0.23826999999999998,0.408067,44361,30776,13585,40773,30776,282,9715,38,147,,1.5998940000000001,,16.52129,,0.889483,,1.527778,,,1.278484,0.8894280000000001,,5.556988
SNP,*,*,ALL,*,QUAL,100974.000000,0.002547,0.8560610000000001,0.76,0.0025399999999999997,44361,113,44248,550,113,19,418,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10099.099609,0.6937399999999999,0.99092,0.23828200000000002,0.408059,44361,30775,13586,40771,30774,282,9715,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101.699997,0.9725659999999999,0.98572,0.34112600000000004,0.48955,44361,43144,1217,66430,43144,625,22661,71,306,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1010.219971,0.970109,0.986476,0.30951300000000004,0.489112,44361,43035,1326,63180,43035,590,19555,68,296,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10100.900391,0.6936720000000001,0.9909190000000001,0.238288,0.408036,44361,30772,13589,40770,30773,282,9715,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101022.000000,0.002547,0.8549620000000001,0.7613840000000001,0.0025399999999999997,44361,113,44248,549,112,19,418,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10103.099609,0.693605,0.9909819999999999,0.23832899999999999,0.408023,44361,30769,13592,40763,30768,280,9715,38,147,0.495158,,0.49011000000000005,,0.49733299999999997,,0.47928999999999994,,0.49749,0.49631000000000003,,,0.48987600000000003,
SNP,*,*,ALL,*,QUAL,10105.599609,0.6935600000000001,0.990981,0.23826,0.408007,44361,30767,13594,40758,30767,280,9711,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10106.700195,0.693515,0.990981,0.238234,0.407991,44361,30765,13596,40754,30765,280,9709,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10109.599609,0.693447,0.99098,0.238227,0.407968,44361,30762,13599,40751,30763,280,9708,38,147,0.495158,,0.489875,,0.49743699999999996,,0.47928999999999994,,0.497542,0.496353,,,0.48986899999999994,
SNP,*,*,ALL,*,QUAL,101099.000000,0.002525,0.8549620000000001,0.760949,0.002517,44361,112,44249,548,112,19,417,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1011.549988,0.970086,0.986498,0.30946799999999997,0.489112,44361,43034,1327,63173,43034,589,19550,68,295,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10111.099609,0.693334,0.990979,0.23821900000000001,0.407929,44361,30757,13604,40744,30758,280,9706,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10112.700195,0.693244,0.990977,0.238217,0.40789699999999995,44361,30753,13608,40736,30752,280,9704,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101126.000000,0.002525,0.8549620000000001,0.760512,0.002517,44361,112,44249,547,112,19,416,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10117.700195,0.693176,0.990976,0.23821599999999998,0.40787399999999996,44361,30750,13611,40732,30749,280,9703,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10118.900391,0.693109,0.990976,0.23820300000000003,0.40785,44361,30747,13614,40730,30748,280,9702,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1012.679993,0.970086,0.986498,0.309446,0.489112,44361,43034,1327,63171,43034,589,19548,68,295,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10120.700195,0.693041,0.990975,0.23820700000000003,0.407826,44361,30744,13617,40725,30744,280,9701,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10122.700195,0.692974,0.990974,0.23821900000000001,0.407803,44361,30741,13620,40723,30742,280,9701,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10124.099609,0.692883,0.990973,0.238224,0.40777199999999997,44361,30737,13624,40718,30738,280,9700,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10125.700195,0.692793,0.990972,0.238247,0.40774,44361,30733,13628,40714,30734,280,9700,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10127.700195,0.692793,0.9909709999999999,0.23825900000000003,0.40774,44361,30733,13628,40712,30732,280,9700,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101288.000000,0.002502,0.8549620000000001,0.760512,0.002495,44361,111,44250,547,112,19,416,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10129.400391,0.692771,0.9909709999999999,0.238184,0.40773200000000004,44361,30732,13629,40708,30732,280,9696,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1013.760010,0.970086,0.986498,0.309413,0.489112,44361,43034,1327,63168,43034,589,19545,68,295,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10130.900391,0.692771,0.9909709999999999,0.23819,0.40773200000000004,44361,30732,13629,40707,30731,280,9696,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10132.599609,0.692703,0.9909709999999999,0.238196,0.407709,44361,30729,13632,40706,30730,280,9696,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10133.900391,0.692635,0.9909690000000001,0.238182,0.40768499999999996,44361,30726,13635,40700,30726,280,9694,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10135.099609,0.692613,0.991001,0.23816199999999998,0.407683,44361,30725,13636,40695,30724,279,9692,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10136.900391,0.692523,0.991,0.23814200000000002,0.40765100000000004,44361,30721,13640,40690,30721,279,9690,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101379.000000,0.002502,0.8538459999999999,0.761468,0.002495,44361,111,44250,545,111,19,415,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10138.599609,0.6925,0.991,0.23814200000000002,0.407643,44361,30720,13641,40690,30721,279,9690,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10139.700195,0.692433,0.990999,0.23815999999999998,0.40762,44361,30717,13644,40687,30718,279,9690,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10141.200195,0.692387,0.9909979999999999,0.238183,0.407604,44361,30715,13646,40683,30714,279,9690,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10143.000000,0.6923199999999999,0.9909979999999999,0.23818899999999998,0.40758,44361,30712,13649,40682,30713,279,9690,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10145.000000,0.692275,0.9909969999999999,0.238169,0.407565,44361,30710,13651,40677,30710,279,9688,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10146.900391,0.69223,0.9909959999999999,0.23816199999999998,0.407549,44361,30708,13653,40674,30708,279,9687,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101478.000000,0.002502,0.8538459999999999,0.761029,0.002495,44361,111,44250,544,111,19,414,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10148.700195,0.69223,0.9909959999999999,0.238143,0.407549,44361,30708,13653,40673,30708,279,9686,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10149.799805,0.6921390000000001,0.9909950000000001,0.23814200000000002,0.407518,44361,30704,13657,40669,30705,279,9685,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1015.530029,0.970086,0.986498,0.309369,0.489112,44361,43034,1327,63164,43034,589,19541,68,295,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10150.900391,0.692117,0.990994,0.23812199999999997,0.40751,44361,30703,13658,40664,30702,279,9683,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10153.700195,0.692072,0.990994,0.23810900000000002,0.407494,44361,30701,13660,40662,30701,279,9682,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10155.900391,0.692004,0.990993,0.238108,0.40747,44361,30698,13663,40658,30698,279,9681,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10157.099609,0.691982,0.990993,0.23809499999999997,0.407462,44361,30697,13664,40656,30697,279,9680,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101571.000000,0.002502,0.8538459999999999,0.7605890000000001,0.002495,44361,111,44250,543,111,19,413,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10158.599609,0.6918920000000001,0.990992,0.238094,0.407431,44361,30693,13668,40652,30694,279,9679,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10159.799805,0.691869,0.990992,0.2381,0.407423,44361,30692,13669,40651,30693,279,9679,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101600.000000,0.002502,0.8538459999999999,0.7601479999999999,0.002495,44361,111,44250,542,111,19,412,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10161.599609,0.691824,0.990991,0.238105,0.407407,44361,30690,13671,40646,30689,279,9678,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10163.000000,0.691779,0.9909899999999999,0.238092,0.40739200000000003,44361,30688,13673,40644,30688,279,9677,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10164.900391,0.691756,0.9909899999999999,0.23807899999999999,0.407384,44361,30687,13674,40642,30687,279,9676,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10166.900391,0.691666,0.9909889999999999,0.238096,0.407352,44361,30683,13678,40639,30684,279,9676,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10168.700195,0.6916439999999999,0.9909879999999999,0.238114,0.407344,44361,30682,13679,40636,30681,279,9676,38,146,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,101694.000000,0.002502,0.8538459999999999,0.759704,0.002495,44361,111,44250,541,111,19,411,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1017.590027,0.970086,0.986498,0.309336,0.489112,44361,43034,1327,63161,43034,589,19538,68,295,,,,,,,,,,,,,,
